username,match,date,unixdate
Laurenderusha,82,2012-11-10 18:26:15 -0500,1352589975
TN9457,92,2012-11-10 18:26:20 -0500,1352589980
Bromobenzene,94,2012-11-10 18:26:26 -0500,1352589986
L0tus_flower,92,2012-11-10 18:26:31 -0500,1352589991
rclay27,83,2012-11-10 18:26:36 -0500,1352589996
WendyMIT,79,2012-11-10 18:26:43 -0500,1352590003
Jenny138,92,2012-11-10 18:26:48 -0500,1352590008
greta_cupcakes,85,2012-11-10 18:26:54 -0500,1352590014
inthesea123,88,2012-11-10 18:26:59 -0500,1352590019
LindseyRose576,93,2012-11-10 18:27:05 -0500,1352590025
Jtabs_cat,88,2012-11-10 18:27:10 -0500,1352590030
marvelsmarbles,87,2012-11-10 18:27:16 -0500,1352590036
ellewolfe,88,2012-11-10 18:27:21 -0500,1352590041
Teensy25,92,2012-11-10 18:27:26 -0500,1352590046
gogirl22,79,2012-11-10 18:27:32 -0500,1352590052
Icebox9,91,2012-11-10 18:27:37 -0500,1352590057
Itzcuintli,90,2012-11-10 18:27:43 -0500,1352590063
hi-im-e,93,2012-11-10 18:27:48 -0500,1352590068
lucialu62,90,2012-11-10 18:27:54 -0500,1352590074
ldyred,94,2012-11-10 18:28:00 -0500,1352590080
Whisky_me_sour,88,2012-11-10 18:28:05 -0500,1352590085
ecglover,86,2012-11-10 18:28:11 -0500,1352590091
Lanark3,93,2012-11-10 18:28:16 -0500,1352590096
uhhuhoksure,91,2012-11-10 18:28:22 -0500,1352590102
DustyRose007,95,2012-11-10 18:28:27 -0500,1352590107
AnnieHavoc,92,2012-11-10 18:28:32 -0500,1352590112
lsmyth,94,2012-11-10 18:28:38 -0500,1352590118
Farigirrl,78,2012-11-10 18:28:43 -0500,1352590123
LemonScience42,96,2012-11-10 18:28:49 -0500,1352590129
fs244,94,2012-11-10 18:28:54 -0500,1352590134
fs244,94,2012-11-10 18:28:59 -0500,1352590139
mkb321,89,2012-11-10 18:29:05 -0500,1352590145
glitterdevochka,84,2012-11-10 18:29:10 -0500,1352590150
Amalina99,96,2012-11-10 18:29:17 -0500,1352590157
Erinnkk,94,2012-11-10 18:29:22 -0500,1352590162
kaithow21,90,2012-11-10 18:29:28 -0500,1352590168
emshoe,73,2012-11-10 18:29:33 -0500,1352590173
amelia__pond,91,2012-11-10 18:29:38 -0500,1352590178
Lindssaves,90,2012-11-10 18:29:44 -0500,1352590184
lesmisgirl,86,2012-11-10 18:29:49 -0500,1352590189
ljyob,92,2012-11-10 18:29:55 -0500,1352590195
Seemake,82,2012-11-10 18:30:00 -0500,1352590200
hbentley87,91,2012-11-10 18:30:06 -0500,1352590206
doctorspacesam,90,2012-11-10 18:30:11 -0500,1352590211
Oceanbound2013,88,2012-11-10 18:30:16 -0500,1352590216
dirtypotatochip,94,2012-11-10 18:30:22 -0500,1352590222
sarahjumpsrope,92,2012-11-10 18:30:27 -0500,1352590227
sunny_dd,91,2012-11-10 18:30:34 -0500,1352590234
D-Electrique,94,2012-11-10 18:30:39 -0500,1352590239
cshachar,95,2012-11-10 18:30:45 -0500,1352590245
DustyRose007,95,2012-11-10 18:30:50 -0500,1352590250
aroy0013,89,2012-11-10 18:30:56 -0500,1352590256
marmar2319,92,2012-11-10 18:31:01 -0500,1352590261
Shaynaj15,78,2012-11-10 18:31:07 -0500,1352590267
_temetnosce,89,2012-11-10 18:31:12 -0500,1352590272
slivs,92,2012-11-10 18:31:18 -0500,1352590278
sartorially,82,2012-11-10 18:31:23 -0500,1352590283
bostondaisy,82,2012-11-10 18:31:28 -0500,1352590288
Kickit7272,84,2012-11-10 18:31:34 -0500,1352590294
symbiontic,95,2012-11-10 18:31:39 -0500,1352590299
shortnsouthern,90,2012-11-10 18:31:45 -0500,1352590305
ohmyskoobydoo,87,2012-11-10 18:31:51 -0500,1352590311
kaderine07,95,2012-11-10 18:31:56 -0500,1352590316
ninab9,83,2012-11-10 18:32:02 -0500,1352590322
Ridgedale,92,2012-11-10 18:32:07 -0500,1352590327
stateofheart,88,2012-11-10 18:32:13 -0500,1352590333
wreena,90,2012-11-10 18:32:18 -0500,1352590338
CallMeClare,90,2012-11-10 18:32:24 -0500,1352590344
rndm88,90,2012-11-10 18:32:29 -0500,1352590349
Kir1884,93,2012-11-10 18:32:35 -0500,1352590355
ss2564,89,2012-11-10 18:32:40 -0500,1352590360
palendromeda,87,2012-11-10 18:32:45 -0500,1352590365
shari73,82,2012-11-10 18:32:51 -0500,1352590371
MelissaDeborah,85,2012-11-10 18:32:56 -0500,1352590376
flowerchild_88,94,2012-11-10 18:33:02 -0500,1352590382
ADudek,88,2012-11-10 18:33:08 -0500,1352590388
lmel28,81,2012-11-10 18:33:13 -0500,1352590393
Not_a_Jellyfish,92,2012-11-10 18:33:19 -0500,1352590399
May_Elizabeth,84,2012-11-10 18:33:24 -0500,1352590404
amr2m,78,2012-11-10 18:33:30 -0500,1352590410
BlondeAbroad,96,2012-11-10 18:33:35 -0500,1352590415
thissnisunavail,79,2012-11-10 18:33:41 -0500,1352590421
of-california,91,2012-11-10 18:33:46 -0500,1352590426
